obs.no,agent_x,agent_y,gem_x,gem_y,rewards,action
692,200,250,200,200,-50.0,0
693,200,200,200,200,10000.0,2
694,250,200,200,200,-50.0,1
695,200,200,200,200,10000.0,3
696,250,200,200,200,-50.0,1
697,200,200,200,200,10000.0,3
698,200,250,200,200,-50.0,0
699,200,200,200,200,10000.0,2
700,250,200,200,200,-50.0,1
701,200,200,200,200,10000.0,3
702,250,200,200,200,-50.0,1
703,200,200,200,200,10000.0,3
704,200,250,200,200,-50.0,0
705,200,200,200,200,10000.0,2
706,200,150,200,200,-50.0,2
707,200,200,200,200,10000.0,0
708,200,250,200,200,-50.0,0
709,200,200,200,200,10000.0,2
710,250,200,200,200,-50.0,1
711,200,200,200,200,10000.0,3
712,250,200,200,200,-50.0,1
713,200,200,200,200,10000.0,3
714,200,250,200,200,-50.0,0
715,200,200,200,200,10000.0,2
716,200,250,200,200,-50.0,0
717,200,200,200,200,10000.0,2
718,200,250,200,200,-50.0,0
719,200,200,200,200,10000.0,2
720,250,200,200,200,-50.0,1
721,200,200,200,200,10000.0,3
722,250,200,200,200,-50.0,1
723,200,200,200,200,10000.0,3
724,200,250,200,200,-50.0,0
725,200,200,200,200,10000.0,2
726,250,200,200,200,-50.0,1
727,200,200,200,200,10000.0,3
728,250,200,200,200,-50.0,1
729,200,200,200,200,10000.0,3
730,250,200,200,200,-50.0,1
731,200,200,200,200,10000.0,3
732,200,150,200,200,-50.0,2
733,200,200,200,200,10000.0,0
734,250,200,200,200,-50.0,1
735,200,200,200,200,10000.0,3
736,250,200,200,200,-50.0,1
737,200,200,200,200,10000.0,3
738,250,200,200,200,-50.0,1
739,200,200,200,200,10000.0,3
740,250,200,200,200,-50.0,1
741,200,200,200,200,10000.0,3
742,200,250,200,200,-50.0,0
743,200,200,200,200,10000.0,2
744,200,250,200,200,-50.0,0
745,200,200,200,200,10000.0,2
746,250,200,200,200,-50.0,1
747,200,200,200,200,10000.0,3
748,250,200,200,200,-50.0,1
749,200,200,200,200,10000.0,3
750,200,250,200,200,-50.0,0
751,200,200,200,200,10000.0,2
752,250,200,200,200,-50.0,1
753,200,200,200,200,10000.0,3
754,200,250,200,200,-50.0,0
755,200,200,200,200,10000.0,2
756,150,200,200,200,-50.0,3
757,200,200,200,200,10000.0,1
758,200,250,200,200,-50.0,0
759,200,200,200,200,10000.0,2
760,250,200,200,200,-50.0,1
761,200,200,200,200,10000.0,3
762,250,200,200,200,-50.0,1
763,200,200,200,200,10000.0,3
764,250,200,200,200,-50.0,1
765,200,200,200,200,10000.0,3
766,250,200,200,200,-50.0,1
767,200,200,200,200,10000.0,3
768,250,200,200,200,-50.0,1
769,200,200,200,200,10000.0,3
770,250,200,200,200,-50.0,1
771,200,200,200,200,10000.0,3
772,200,250,200,200,-50.0,0
773,200,200,200,200,10000.0,2
774,250,200,200,200,-50.0,1
775,200,200,200,200,10000.0,3
776,250,200,200,200,-50.0,1
777,200,200,200,200,10000.0,3
778,200,250,200,200,-50.0,0
779,200,200,200,200,10000.0,2
780,200,250,200,200,-50.0,0
781,200,200,200,200,10000.0,2
782,200,250,200,200,-50.0,0
783,200,200,200,200,10000.0,2
784,250,200,200,200,-50.0,1
785,200,200,200,200,10000.0,3
786,250,200,200,200,-50.0,1
787,200,200,200,200,10000.0,3
788,200,250,200,200,-50.0,0
789,200,200,200,200,10000.0,2
790,250,200,200,200,-50.0,1
791,200,200,200,200,10000.0,3
792,250,200,200,200,-50.0,1
793,200,200,200,200,10000.0,3
794,250,200,200,200,-50.0,1
795,200,200,200,200,10000.0,3
796,250,200,200,200,-50.0,1
797,200,200,200,200,10000.0,3
798,250,200,200,200,-50.0,1
799,200,200,200,200,10000.0,3
800,200,150,200,200,-50.0,2
801,200,200,200,200,10000.0,0
802,200,250,200,200,-50.0,0
803,200,200,200,200,10000.0,2
804,250,200,200,200,-50.0,1
805,250,150,200,200,-70.71067811865476,2
806,250,200,200,200,-50.0,0
807,200,200,200,200,10000.0,3
808,200,250,200,200,-50.0,0
809,200,200,200,200,10000.0,2
810,200,250,200,200,-50.0,0
811,200,200,200,200,10000.0,2
812,250,200,200,200,-50.0,1
